part_file,normal_x,normal_y,normal_z,plane_offset_mm,patch_area_mm2,n_triangles,bbox_u_mm,bbox_v_mm,fill_ratio,largest_inscribed_square_mm,square1_cx_mm,square1_cy_mm,square1_cz_mm,second_square_mm,square2_cx_mm,square2_cy_mm,square2_cz_mm,pair_baseline_mm,centroid_x_mm,centroid_y_mm,centroid_z_mm
Alt_Kasa.stl,0.0001,-1.0000,-0.0000,59.81,10114.3,1698,69.80,145.20,0.998,63.20,-37.27,-59.81,38.80,51.60,-115.47,-59.82,33.40,78.39,-66.05,-59.81,34.40
Alt_Kasa.stl,0.0001,1.0000,-0.0000,59.81,10114.3,1698,69.80,145.20,0.998,62.80,-27.07,59.81,38.40,62.00,-110.27,59.82,38.80,83.20,-70.15,59.81,34.32
Alt_Kasa.stl,0.0001,-1.0000,-0.0000,-57.00,9594.0,114,67.10,144.99,0.986,61.20,-101.14,56.99,30.60,52.80,-22.14,57.00,34.00,79.07,-63.18,57.00,21.67
Alt_Kasa.stl,0.0001,1.0000,-0.0000,-57.00,9594.0,114,67.10,144.99,0.986,61.20,-101.14,-56.99,36.50,52.80,-22.14,-57.00,33.50,79.06,-52.74,-57.00,19.95
Alt_Kasa.stl,-1.0000,0.0000,0.0000,150.00,6552.3,24,69.80,101.74,0.923,50.00,-150.00,-0.13,44.80,9.60,-150.00,46.07,65.00,50.42,-150.00,-1.27,23.14
Alt_Kasa.stl,1.0000,0.0000,0.0000,-147.00,6248.7,24,67.00,101.46,0.919,47.20,-147.00,1.13,44.00,13.20,-147.00,-44.67,27.00,48.85,-147.00,-1.27,22.56
Alt_Kasa.stl,-0.0000,0.0000,1.0000,70.00,9816.7,755,119.60,209.60,0.392,24.80,-54.60,-47.40,70.00,18.00,-44.40,51.20,70.00,99.13,-65.23,2.05,70.00
Alt_Kasa.stl,0.0000,0.0000,-1.0000,-67.04,7758.2,898,114.00,204.00,0.334,20.00,-57.00,-47.40,67.04,12.80,-46.60,50.60,67.04,98.55,-60.49,2.07,67.04
Alt_Kasa.stl,1.0000,0.0000,0.0000,59.91,756.1,10,69.80,10.82,1.001,11.20,59.91,-0.19,5.60,11.20,59.91,-0.19,20.40,14.80,59.91,0.00,34.90
Alt_Kasa.stl,0.4026,-0.9154,0.0000,59.91,756.1,10,69.80,10.82,1.001,11.20,24.00,-54.90,5.60,11.20,24.00,-54.90,20.40,14.80,24.17,-54.82,34.90
